carb,qsec,hp,mpg,drat,wt
4,16.46,110,21,3.9,2.62
4,17.02,110,21,3.9,2.875
1,18.61,93,22.8,3.85,2.32
1,19.44,110,21.4,3.08,3.215
2,17.02,175,18.7,3.15,3.44
1,20.22,105,18.1,2.76,3.46
4,15.84,245,14.3,3.21,3.57
2,20,62,24.4,3.69,3.19
2,22.9,95,22.8,3.92,3.15
4,18.3,123,19.2,3.92,3.44
4,18.9,123,17.8,3.92,3.44
3,17.4,180,16.4,3.07,4.07
3,17.6,180,17.3,3.07,3.73
3,18,180,15.2,3.07,3.78
4,17.98,205,10.4,2.93,5.25
4,17.82,215,10.4,3,5.424
4,17.42,230,14.7,3.23,5.345
1,19.47,66,32.4,4.08,2.2
2,18.52,52,30.4,4.93,1.615
1,19.9,65,33.9,4.22,1.835
1,20.01,97,21.5,3.7,2.465
2,16.87,150,15.5,2.76,3.52
2,17.3,150,15.2,3.15,3.435
4,15.41,245,13.3,3.73,3.84
2,17.05,175,19.2,3.08,3.845
1,18.9,66,27.3,4.08,1.935
2,16.7,91,26,4.43,2.14
2,16.9,113,30.4,3.77,1.513
4,14.5,264,15.8,4.22,3.17
6,15.5,175,19.7,3.62,2.77
8,14.6,335,15,3.54,3.57
2,18.6,109,21.4,4.11,2.78
