cyl,wt,qsec,hp,drat,am
6,2.62,16.46,110,3.9,1
6,2.875,17.02,110,3.9,1
4,2.32,18.61,93,3.85,1
6,3.215,19.44,110,3.08,0
8,3.44,17.02,175,3.15,0
6,3.46,20.22,105,2.76,0
8,3.57,15.84,245,3.21,0
4,3.19,20,62,3.69,0
4,3.15,22.9,95,3.92,0
6,3.44,18.3,123,3.92,0
6,3.44,18.9,123,3.92,0
8,4.07,17.4,180,3.07,0
8,3.73,17.6,180,3.07,0
8,3.78,18,180,3.07,0
8,5.25,17.98,205,2.93,0
8,5.424,17.82,215,3,0
8,5.345,17.42,230,3.23,0
4,2.2,19.47,66,4.08,1
4,1.615,18.52,52,4.93,1
4,1.835,19.9,65,4.22,1
4,2.465,20.01,97,3.7,0
8,3.52,16.87,150,2.76,0
8,3.435,17.3,150,3.15,0
8,3.84,15.41,245,3.73,0
8,3.845,17.05,175,3.08,0
4,1.935,18.9,66,4.08,1
4,2.14,16.7,91,4.43,1
4,1.513,16.9,113,3.77,1
8,3.17,14.5,264,4.22,1
6,2.77,15.5,175,3.62,1
8,3.57,14.6,335,3.54,1
4,2.78,18.6,109,4.11,1
