qsec,mpg,wt,vs,gear,drat
16.46,21,2.62,0,4,3.9
17.02,21,2.875,0,4,3.9
18.61,22.8,2.32,1,4,3.85
19.44,21.4,3.215,1,3,3.08
17.02,18.7,3.44,0,3,3.15
20.22,18.1,3.46,1,3,2.76
15.84,14.3,3.57,0,3,3.21
20,24.4,3.19,1,4,3.69
22.9,22.8,3.15,1,4,3.92
18.3,19.2,3.44,1,4,3.92
18.9,17.8,3.44,1,4,3.92
17.4,16.4,4.07,0,3,3.07
17.6,17.3,3.73,0,3,3.07
18,15.2,3.78,0,3,3.07
17.98,10.4,5.25,0,3,2.93
17.82,10.4,5.424,0,3,3
17.42,14.7,5.345,0,3,3.23
19.47,32.4,2.2,1,4,4.08
18.52,30.4,1.615,1,4,4.93
19.9,33.9,1.835,1,4,4.22
20.01,21.5,2.465,1,3,3.7
16.87,15.5,3.52,0,3,2.76
17.3,15.2,3.435,0,3,3.15
15.41,13.3,3.84,0,3,3.73
17.05,19.2,3.845,0,3,3.08
18.9,27.3,1.935,1,4,4.08
16.7,26,2.14,0,5,4.43
16.9,30.4,1.513,1,5,3.77
14.5,15.8,3.17,0,5,4.22
15.5,19.7,2.77,0,5,3.62
14.6,15,3.57,0,5,3.54
18.6,21.4,2.78,1,4,4.11
