cyl,mpg,vs,gear,am,wt
6,21,0,4,1,2.62
6,21,0,4,1,2.875
4,22.8,1,4,1,2.32
6,21.4,1,3,0,3.215
8,18.7,0,3,0,3.44
6,18.1,1,3,0,3.46
8,14.3,0,3,0,3.57
4,24.4,1,4,0,3.19
4,22.8,1,4,0,3.15
6,19.2,1,4,0,3.44
6,17.8,1,4,0,3.44
8,16.4,0,3,0,4.07
8,17.3,0,3,0,3.73
8,15.2,0,3,0,3.78
8,10.4,0,3,0,5.25
8,10.4,0,3,0,5.424
8,14.7,0,3,0,5.345
4,32.4,1,4,1,2.2
4,30.4,1,4,1,1.615
4,33.9,1,4,1,1.835
4,21.5,1,3,0,2.465
8,15.5,0,3,0,3.52
8,15.2,0,3,0,3.435
8,13.3,0,3,0,3.84
8,19.2,0,3,0,3.845
4,27.3,1,4,1,1.935
4,26,0,5,1,2.14
4,30.4,1,5,1,1.513
8,15.8,0,5,1,3.17
6,19.7,0,5,1,2.77
8,15,0,5,1,3.57
4,21.4,1,4,1,2.78
