wt,disp,drat,mpg,vs,carb
2.62,160,3.9,21,0,4
2.875,160,3.9,21,0,4
2.32,108,3.85,22.8,1,1
3.215,258,3.08,21.4,1,1
3.44,360,3.15,18.7,0,2
3.46,225,2.76,18.1,1,1
3.57,360,3.21,14.3,0,4
3.19,146.7,3.69,24.4,1,2
3.15,140.8,3.92,22.8,1,2
3.44,167.6,3.92,19.2,1,4
3.44,167.6,3.92,17.8,1,4
4.07,275.8,3.07,16.4,0,3
3.73,275.8,3.07,17.3,0,3
3.78,275.8,3.07,15.2,0,3
5.25,472,2.93,10.4,0,4
5.424,460,3,10.4,0,4
5.345,440,3.23,14.7,0,4
2.2,78.7,4.08,32.4,1,1
1.615,75.7,4.93,30.4,1,2
1.835,71.1,4.22,33.9,1,1
2.465,120.1,3.7,21.5,1,1
3.52,318,2.76,15.5,0,2
3.435,304,3.15,15.2,0,2
3.84,350,3.73,13.3,0,4
3.845,400,3.08,19.2,0,2
1.935,79,4.08,27.3,1,1
2.14,120.3,4.43,26,0,2
1.513,95.1,3.77,30.4,1,2
3.17,351,4.22,15.8,0,4
2.77,145,3.62,19.7,0,6
3.57,301,3.54,15,0,8
2.78,121,4.11,21.4,1,2
