qsec,wt,gear,carb,mpg,vs
16.46,2.62,4,4,21,0
17.02,2.875,4,4,21,0
18.61,2.32,4,1,22.8,1
19.44,3.215,3,1,21.4,1
17.02,3.44,3,2,18.7,0
20.22,3.46,3,1,18.1,1
15.84,3.57,3,4,14.3,0
20,3.19,4,2,24.4,1
22.9,3.15,4,2,22.8,1
18.3,3.44,4,4,19.2,1
18.9,3.44,4,4,17.8,1
17.4,4.07,3,3,16.4,0
17.6,3.73,3,3,17.3,0
18,3.78,3,3,15.2,0
17.98,5.25,3,4,10.4,0
17.82,5.424,3,4,10.4,0
17.42,5.345,3,4,14.7,0
19.47,2.2,4,1,32.4,1
18.52,1.615,4,2,30.4,1
19.9,1.835,4,1,33.9,1
20.01,2.465,3,1,21.5,1
16.87,3.52,3,2,15.5,0
17.3,3.435,3,2,15.2,0
15.41,3.84,3,4,13.3,0
17.05,3.845,3,2,19.2,0
18.9,1.935,4,1,27.3,1
16.7,2.14,5,2,26,0
16.9,1.513,5,2,30.4,1
14.5,3.17,5,4,15.8,0
15.5,2.77,5,6,19.7,0
14.6,3.57,5,8,15,0
18.6,2.78,4,2,21.4,1
