mpg,gear,hp,disp,carb,am
21,4,110,160,4,1
21,4,110,160,4,1
22.8,4,93,108,1,1
21.4,3,110,258,1,0
18.7,3,175,360,2,0
18.1,3,105,225,1,0
14.3,3,245,360,4,0
24.4,4,62,146.7,2,0
22.8,4,95,140.8,2,0
19.2,4,123,167.6,4,0
17.8,4,123,167.6,4,0
16.4,3,180,275.8,3,0
17.3,3,180,275.8,3,0
15.2,3,180,275.8,3,0
10.4,3,205,472,4,0
10.4,3,215,460,4,0
14.7,3,230,440,4,0
32.4,4,66,78.7,1,1
30.4,4,52,75.7,2,1
33.9,4,65,71.1,1,1
21.5,3,97,120.1,1,0
15.5,3,150,318,2,0
15.2,3,150,304,2,0
13.3,3,245,350,4,0
19.2,3,175,400,2,0
27.3,4,66,79,1,1
26,5,91,120.3,2,1
30.4,5,113,95.1,2,1
15.8,5,264,351,4,1
19.7,5,175,145,6,1
15,5,335,301,8,1
21.4,4,109,121,2,1
