am,gear,carb,mpg,qsec,wt
1,4,4,21,16.46,2.62
1,4,4,21,17.02,2.875
1,4,1,22.8,18.61,2.32
0,3,1,21.4,19.44,3.215
0,3,2,18.7,17.02,3.44
0,3,1,18.1,20.22,3.46
0,3,4,14.3,15.84,3.57
0,4,2,24.4,20,3.19
0,4,2,22.8,22.9,3.15
0,4,4,19.2,18.3,3.44
0,4,4,17.8,18.9,3.44
0,3,3,16.4,17.4,4.07
0,3,3,17.3,17.6,3.73
0,3,3,15.2,18,3.78
0,3,4,10.4,17.98,5.25
0,3,4,10.4,17.82,5.424
0,3,4,14.7,17.42,5.345
1,4,1,32.4,19.47,2.2
1,4,2,30.4,18.52,1.615
1,4,1,33.9,19.9,1.835
0,3,1,21.5,20.01,2.465
0,3,2,15.5,16.87,3.52
0,3,2,15.2,17.3,3.435
0,3,4,13.3,15.41,3.84
0,3,2,19.2,17.05,3.845
1,4,1,27.3,18.9,1.935
1,5,2,26,16.7,2.14
1,5,2,30.4,16.9,1.513
1,5,4,15.8,14.5,3.17
1,5,6,19.7,15.5,2.77
1,5,8,15,14.6,3.57
1,4,2,21.4,18.6,2.78
