cyl,vs,carb,wt,am,drat
6,0,4,2.62,1,3.9
6,0,4,2.875,1,3.9
4,1,1,2.32,1,3.85
6,1,1,3.215,0,3.08
8,0,2,3.44,0,3.15
6,1,1,3.46,0,2.76
8,0,4,3.57,0,3.21
4,1,2,3.19,0,3.69
4,1,2,3.15,0,3.92
6,1,4,3.44,0,3.92
6,1,4,3.44,0,3.92
8,0,3,4.07,0,3.07
8,0,3,3.73,0,3.07
8,0,3,3.78,0,3.07
8,0,4,5.25,0,2.93
8,0,4,5.424,0,3
8,0,4,5.345,0,3.23
4,1,1,2.2,1,4.08
4,1,2,1.615,1,4.93
4,1,1,1.835,1,4.22
4,1,1,2.465,0,3.7
8,0,2,3.52,0,2.76
8,0,2,3.435,0,3.15
8,0,4,3.84,0,3.73
8,0,2,3.845,0,3.08
4,1,1,1.935,1,4.08
4,0,2,2.14,1,4.43
4,1,2,1.513,1,3.77
8,0,4,3.17,1,4.22
6,0,6,2.77,1,3.62
8,0,8,3.57,1,3.54
4,1,2,2.78,1,4.11
