hp,mpg,vs,qsec,am,disp
110,21,0,16.46,1,160
110,21,0,17.02,1,160
93,22.8,1,18.61,1,108
110,21.4,1,19.44,0,258
175,18.7,0,17.02,0,360
105,18.1,1,20.22,0,225
245,14.3,0,15.84,0,360
62,24.4,1,20,0,146.7
95,22.8,1,22.9,0,140.8
123,19.2,1,18.3,0,167.6
123,17.8,1,18.9,0,167.6
180,16.4,0,17.4,0,275.8
180,17.3,0,17.6,0,275.8
180,15.2,0,18,0,275.8
205,10.4,0,17.98,0,472
215,10.4,0,17.82,0,460
230,14.7,0,17.42,0,440
66,32.4,1,19.47,1,78.7
52,30.4,1,18.52,1,75.7
65,33.9,1,19.9,1,71.1
97,21.5,1,20.01,0,120.1
150,15.5,0,16.87,0,318
150,15.2,0,17.3,0,304
245,13.3,0,15.41,0,350
175,19.2,0,17.05,0,400
66,27.3,1,18.9,1,79
91,26,0,16.7,1,120.3
113,30.4,1,16.9,1,95.1
264,15.8,0,14.5,1,351
175,19.7,0,15.5,1,145
335,15,0,14.6,1,301
109,21.4,1,18.6,1,121
