wt,qsec,gear,am,hp,disp
2.62,16.46,4,1,110,160
2.875,17.02,4,1,110,160
2.32,18.61,4,1,93,108
3.215,19.44,3,0,110,258
3.44,17.02,3,0,175,360
3.46,20.22,3,0,105,225
3.57,15.84,3,0,245,360
3.19,20,4,0,62,146.7
3.15,22.9,4,0,95,140.8
3.44,18.3,4,0,123,167.6
3.44,18.9,4,0,123,167.6
4.07,17.4,3,0,180,275.8
3.73,17.6,3,0,180,275.8
3.78,18,3,0,180,275.8
5.25,17.98,3,0,205,472
5.424,17.82,3,0,215,460
5.345,17.42,3,0,230,440
2.2,19.47,4,1,66,78.7
1.615,18.52,4,1,52,75.7
1.835,19.9,4,1,65,71.1
2.465,20.01,3,0,97,120.1
3.52,16.87,3,0,150,318
3.435,17.3,3,0,150,304
3.84,15.41,3,0,245,350
3.845,17.05,3,0,175,400
1.935,18.9,4,1,66,79
2.14,16.7,5,1,91,120.3
1.513,16.9,5,1,113,95.1
3.17,14.5,5,1,264,351
2.77,15.5,5,1,175,145
3.57,14.6,5,1,335,301
2.78,18.6,4,1,109,121
