cyl,vs,am,carb,disp,wt
6,0,1,4,160,2.62
6,0,1,4,160,2.875
4,1,1,1,108,2.32
6,1,0,1,258,3.215
8,0,0,2,360,3.44
6,1,0,1,225,3.46
8,0,0,4,360,3.57
4,1,0,2,146.7,3.19
4,1,0,2,140.8,3.15
6,1,0,4,167.6,3.44
6,1,0,4,167.6,3.44
8,0,0,3,275.8,4.07
8,0,0,3,275.8,3.73
8,0,0,3,275.8,3.78
8,0,0,4,472,5.25
8,0,0,4,460,5.424
8,0,0,4,440,5.345
4,1,1,1,78.7,2.2
4,1,1,2,75.7,1.615
4,1,1,1,71.1,1.835
4,1,0,1,120.1,2.465
8,0,0,2,318,3.52
8,0,0,2,304,3.435
8,0,0,4,350,3.84
8,0,0,2,400,3.845
4,1,1,1,79,1.935
4,0,1,2,120.3,2.14
4,1,1,2,95.1,1.513
8,0,1,4,351,3.17
6,0,1,6,145,2.77
8,0,1,8,301,3.57
4,1,1,2,121,2.78
