carb,mpg,wt,am,hp,gear
4,21,2.62,1,110,4
4,21,2.875,1,110,4
1,22.8,2.32,1,93,4
1,21.4,3.215,0,110,3
2,18.7,3.44,0,175,3
1,18.1,3.46,0,105,3
4,14.3,3.57,0,245,3
2,24.4,3.19,0,62,4
2,22.8,3.15,0,95,4
4,19.2,3.44,0,123,4
4,17.8,3.44,0,123,4
3,16.4,4.07,0,180,3
3,17.3,3.73,0,180,3
3,15.2,3.78,0,180,3
4,10.4,5.25,0,205,3
4,10.4,5.424,0,215,3
4,14.7,5.345,0,230,3
1,32.4,2.2,1,66,4
2,30.4,1.615,1,52,4
1,33.9,1.835,1,65,4
1,21.5,2.465,0,97,3
2,15.5,3.52,0,150,3
2,15.2,3.435,0,150,3
4,13.3,3.84,0,245,3
2,19.2,3.845,0,175,3
1,27.3,1.935,1,66,4
2,26,2.14,1,91,5
2,30.4,1.513,1,113,5
4,15.8,3.17,1,264,5
6,19.7,2.77,1,175,5
8,15,3.57,1,335,5
2,21.4,2.78,1,109,4
