carb,drat,mpg,gear,cyl,wt
4,3.9,21,4,6,2.62
4,3.9,21,4,6,2.875
1,3.85,22.8,4,4,2.32
1,3.08,21.4,3,6,3.215
2,3.15,18.7,3,8,3.44
1,2.76,18.1,3,6,3.46
4,3.21,14.3,3,8,3.57
2,3.69,24.4,4,4,3.19
2,3.92,22.8,4,4,3.15
4,3.92,19.2,4,6,3.44
4,3.92,17.8,4,6,3.44
3,3.07,16.4,3,8,4.07
3,3.07,17.3,3,8,3.73
3,3.07,15.2,3,8,3.78
4,2.93,10.4,3,8,5.25
4,3,10.4,3,8,5.424
4,3.23,14.7,3,8,5.345
1,4.08,32.4,4,4,2.2
2,4.93,30.4,4,4,1.615
1,4.22,33.9,4,4,1.835
1,3.7,21.5,3,4,2.465
2,2.76,15.5,3,8,3.52
2,3.15,15.2,3,8,3.435
4,3.73,13.3,3,8,3.84
2,3.08,19.2,3,8,3.845
1,4.08,27.3,4,4,1.935
2,4.43,26,5,4,2.14
2,3.77,30.4,5,4,1.513
4,4.22,15.8,5,8,3.17
6,3.62,19.7,5,6,2.77
8,3.54,15,5,8,3.57
2,4.11,21.4,4,4,2.78
