mpg,carb,am,gear,disp,hp
21,4,1,4,160,110
21,4,1,4,160,110
22.8,1,1,4,108,93
21.4,1,0,3,258,110
18.7,2,0,3,360,175
18.1,1,0,3,225,105
14.3,4,0,3,360,245
24.4,2,0,4,146.7,62
22.8,2,0,4,140.8,95
19.2,4,0,4,167.6,123
17.8,4,0,4,167.6,123
16.4,3,0,3,275.8,180
17.3,3,0,3,275.8,180
15.2,3,0,3,275.8,180
10.4,4,0,3,472,205
10.4,4,0,3,460,215
14.7,4,0,3,440,230
32.4,1,1,4,78.7,66
30.4,2,1,4,75.7,52
33.9,1,1,4,71.1,65
21.5,1,0,3,120.1,97
15.5,2,0,3,318,150
15.2,2,0,3,304,150
13.3,4,0,3,350,245
19.2,2,0,3,400,175
27.3,1,1,4,79,66
26,2,1,5,120.3,91
30.4,2,1,5,95.1,113
15.8,4,1,5,351,264
19.7,6,1,5,145,175
15,8,1,5,301,335
21.4,2,1,4,121,109
