qsec,vs,cyl,mpg,hp,am
16.46,0,6,21,110,1
17.02,0,6,21,110,1
18.61,1,4,22.8,93,1
19.44,1,6,21.4,110,0
17.02,0,8,18.7,175,0
20.22,1,6,18.1,105,0
15.84,0,8,14.3,245,0
20,1,4,24.4,62,0
22.9,1,4,22.8,95,0
18.3,1,6,19.2,123,0
18.9,1,6,17.8,123,0
17.4,0,8,16.4,180,0
17.6,0,8,17.3,180,0
18,0,8,15.2,180,0
17.98,0,8,10.4,205,0
17.82,0,8,10.4,215,0
17.42,0,8,14.7,230,0
19.47,1,4,32.4,66,1
18.52,1,4,30.4,52,1
19.9,1,4,33.9,65,1
20.01,1,4,21.5,97,0
16.87,0,8,15.5,150,0
17.3,0,8,15.2,150,0
15.41,0,8,13.3,245,0
17.05,0,8,19.2,175,0
18.9,1,4,27.3,66,1
16.7,0,4,26,91,1
16.9,1,4,30.4,113,1
14.5,0,8,15.8,264,1
15.5,0,6,19.7,175,1
14.6,0,8,15,335,1
18.6,1,4,21.4,109,1
