gear,carb,disp,qsec,am,wt
4,4,160,16.46,1,2.62
4,4,160,17.02,1,2.875
4,1,108,18.61,1,2.32
3,1,258,19.44,0,3.215
3,2,360,17.02,0,3.44
3,1,225,20.22,0,3.46
3,4,360,15.84,0,3.57
4,2,146.7,20,0,3.19
4,2,140.8,22.9,0,3.15
4,4,167.6,18.3,0,3.44
4,4,167.6,18.9,0,3.44
3,3,275.8,17.4,0,4.07
3,3,275.8,17.6,0,3.73
3,3,275.8,18,0,3.78
3,4,472,17.98,0,5.25
3,4,460,17.82,0,5.424
3,4,440,17.42,0,5.345
4,1,78.7,19.47,1,2.2
4,2,75.7,18.52,1,1.615
4,1,71.1,19.9,1,1.835
3,1,120.1,20.01,0,2.465
3,2,318,16.87,0,3.52
3,2,304,17.3,0,3.435
3,4,350,15.41,0,3.84
3,2,400,17.05,0,3.845
4,1,79,18.9,1,1.935
5,2,120.3,16.7,1,2.14
5,2,95.1,16.9,1,1.513
5,4,351,14.5,1,3.17
5,6,145,15.5,1,2.77
5,8,301,14.6,1,3.57
4,2,121,18.6,1,2.78
