cyl,hp,drat,am,disp,carb
6,110,3.9,1,160,4
6,110,3.9,1,160,4
4,93,3.85,1,108,1
6,110,3.08,0,258,1
8,175,3.15,0,360,2
6,105,2.76,0,225,1
8,245,3.21,0,360,4
4,62,3.69,0,146.7,2
4,95,3.92,0,140.8,2
6,123,3.92,0,167.6,4
6,123,3.92,0,167.6,4
8,180,3.07,0,275.8,3
8,180,3.07,0,275.8,3
8,180,3.07,0,275.8,3
8,205,2.93,0,472,4
8,215,3,0,460,4
8,230,3.23,0,440,4
4,66,4.08,1,78.7,1
4,52,4.93,1,75.7,2
4,65,4.22,1,71.1,1
4,97,3.7,0,120.1,1
8,150,2.76,0,318,2
8,150,3.15,0,304,2
8,245,3.73,0,350,4
8,175,3.08,0,400,2
4,66,4.08,1,79,1
4,91,4.43,1,120.3,2
4,113,3.77,1,95.1,2
8,264,4.22,1,351,4
6,175,3.62,1,145,6
8,335,3.54,1,301,8
4,109,4.11,1,121,2
