qsec,disp,vs,cyl,drat,hp
16.46,160,0,6,3.9,110
17.02,160,0,6,3.9,110
18.61,108,1,4,3.85,93
19.44,258,1,6,3.08,110
17.02,360,0,8,3.15,175
20.22,225,1,6,2.76,105
15.84,360,0,8,3.21,245
20,146.7,1,4,3.69,62
22.9,140.8,1,4,3.92,95
18.3,167.6,1,6,3.92,123
18.9,167.6,1,6,3.92,123
17.4,275.8,0,8,3.07,180
17.6,275.8,0,8,3.07,180
18,275.8,0,8,3.07,180
17.98,472,0,8,2.93,205
17.82,460,0,8,3,215
17.42,440,0,8,3.23,230
19.47,78.7,1,4,4.08,66
18.52,75.7,1,4,4.93,52
19.9,71.1,1,4,4.22,65
20.01,120.1,1,4,3.7,97
16.87,318,0,8,2.76,150
17.3,304,0,8,3.15,150
15.41,350,0,8,3.73,245
17.05,400,0,8,3.08,175
18.9,79,1,4,4.08,66
16.7,120.3,0,4,4.43,91
16.9,95.1,1,4,3.77,113
14.5,351,0,8,4.22,264
15.5,145,0,6,3.62,175
14.6,301,0,8,3.54,335
18.6,121,1,4,4.11,109
