qsec,hp,drat,vs,carb,am
16.46,110,3.9,0,4,1
17.02,110,3.9,0,4,1
18.61,93,3.85,1,1,1
19.44,110,3.08,1,1,0
17.02,175,3.15,0,2,0
20.22,105,2.76,1,1,0
15.84,245,3.21,0,4,0
20,62,3.69,1,2,0
22.9,95,3.92,1,2,0
18.3,123,3.92,1,4,0
18.9,123,3.92,1,4,0
17.4,180,3.07,0,3,0
17.6,180,3.07,0,3,0
18,180,3.07,0,3,0
17.98,205,2.93,0,4,0
17.82,215,3,0,4,0
17.42,230,3.23,0,4,0
19.47,66,4.08,1,1,1
18.52,52,4.93,1,2,1
19.9,65,4.22,1,1,1
20.01,97,3.7,1,1,0
16.87,150,2.76,0,2,0
17.3,150,3.15,0,2,0
15.41,245,3.73,0,4,0
17.05,175,3.08,0,2,0
18.9,66,4.08,1,1,1
16.7,91,4.43,0,2,1
16.9,113,3.77,1,2,1
14.5,264,4.22,0,4,1
15.5,175,3.62,0,6,1
14.6,335,3.54,0,8,1
18.6,109,4.11,1,2,1
