qsec,gear,am,carb,vs,disp
16.46,4,1,4,0,160
17.02,4,1,4,0,160
18.61,4,1,1,1,108
19.44,3,0,1,1,258
17.02,3,0,2,0,360
20.22,3,0,1,1,225
15.84,3,0,4,0,360
20,4,0,2,1,146.7
22.9,4,0,2,1,140.8
18.3,4,0,4,1,167.6
18.9,4,0,4,1,167.6
17.4,3,0,3,0,275.8
17.6,3,0,3,0,275.8
18,3,0,3,0,275.8
17.98,3,0,4,0,472
17.82,3,0,4,0,460
17.42,3,0,4,0,440
19.47,4,1,1,1,78.7
18.52,4,1,2,1,75.7
19.9,4,1,1,1,71.1
20.01,3,0,1,1,120.1
16.87,3,0,2,0,318
17.3,3,0,2,0,304
15.41,3,0,4,0,350
17.05,3,0,2,0,400
18.9,4,1,1,1,79
16.7,5,1,2,0,120.3
16.9,5,1,2,1,95.1
14.5,5,1,4,0,351
15.5,5,1,6,0,145
14.6,5,1,8,0,301
18.6,4,1,2,1,121
