wt,disp,cyl,mpg,carb,vs
2.62,160,6,21,4,0
2.875,160,6,21,4,0
2.32,108,4,22.8,1,1
3.215,258,6,21.4,1,1
3.44,360,8,18.7,2,0
3.46,225,6,18.1,1,1
3.57,360,8,14.3,4,0
3.19,146.7,4,24.4,2,1
3.15,140.8,4,22.8,2,1
3.44,167.6,6,19.2,4,1
3.44,167.6,6,17.8,4,1
4.07,275.8,8,16.4,3,0
3.73,275.8,8,17.3,3,0
3.78,275.8,8,15.2,3,0
5.25,472,8,10.4,4,0
5.424,460,8,10.4,4,0
5.345,440,8,14.7,4,0
2.2,78.7,4,32.4,1,1
1.615,75.7,4,30.4,2,1
1.835,71.1,4,33.9,1,1
2.465,120.1,4,21.5,1,1
3.52,318,8,15.5,2,0
3.435,304,8,15.2,2,0
3.84,350,8,13.3,4,0
3.845,400,8,19.2,2,0
1.935,79,4,27.3,1,1
2.14,120.3,4,26,2,0
1.513,95.1,4,30.4,2,1
3.17,351,8,15.8,4,0
2.77,145,6,19.7,6,0
3.57,301,8,15,8,0
2.78,121,4,21.4,2,1
