carb,disp,drat,mpg,hp,am
4,160,3.9,21,110,1
4,160,3.9,21,110,1
1,108,3.85,22.8,93,1
1,258,3.08,21.4,110,0
2,360,3.15,18.7,175,0
1,225,2.76,18.1,105,0
4,360,3.21,14.3,245,0
2,146.7,3.69,24.4,62,0
2,140.8,3.92,22.8,95,0
4,167.6,3.92,19.2,123,0
4,167.6,3.92,17.8,123,0
3,275.8,3.07,16.4,180,0
3,275.8,3.07,17.3,180,0
3,275.8,3.07,15.2,180,0
4,472,2.93,10.4,205,0
4,460,3,10.4,215,0
4,440,3.23,14.7,230,0
1,78.7,4.08,32.4,66,1
2,75.7,4.93,30.4,52,1
1,71.1,4.22,33.9,65,1
1,120.1,3.7,21.5,97,0
2,318,2.76,15.5,150,0
2,304,3.15,15.2,150,0
4,350,3.73,13.3,245,0
2,400,3.08,19.2,175,0
1,79,4.08,27.3,66,1
2,120.3,4.43,26,91,1
2,95.1,3.77,30.4,113,1
4,351,4.22,15.8,264,1
6,145,3.62,19.7,175,1
8,301,3.54,15,335,1
2,121,4.11,21.4,109,1
