am,carb,hp,qsec,cyl,gear
1,4,110,16.46,6,4
1,4,110,17.02,6,4
1,1,93,18.61,4,4
0,1,110,19.44,6,3
0,2,175,17.02,8,3
0,1,105,20.22,6,3
0,4,245,15.84,8,3
0,2,62,20,4,4
0,2,95,22.9,4,4
0,4,123,18.3,6,4
0,4,123,18.9,6,4
0,3,180,17.4,8,3
0,3,180,17.6,8,3
0,3,180,18,8,3
0,4,205,17.98,8,3
0,4,215,17.82,8,3
0,4,230,17.42,8,3
1,1,66,19.47,4,4
1,2,52,18.52,4,4
1,1,65,19.9,4,4
0,1,97,20.01,4,3
0,2,150,16.87,8,3
0,2,150,17.3,8,3
0,4,245,15.41,8,3
0,2,175,17.05,8,3
1,1,66,18.9,4,4
1,2,91,16.7,4,5
1,2,113,16.9,4,5
1,4,264,14.5,8,5
1,6,175,15.5,6,5
1,8,335,14.6,8,5
1,2,109,18.6,4,4
