drat,vs,carb,cyl,hp,am
3.9,0,4,6,110,1
3.9,0,4,6,110,1
3.85,1,1,4,93,1
3.08,1,1,6,110,0
3.15,0,2,8,175,0
2.76,1,1,6,105,0
3.21,0,4,8,245,0
3.69,1,2,4,62,0
3.92,1,2,4,95,0
3.92,1,4,6,123,0
3.92,1,4,6,123,0
3.07,0,3,8,180,0
3.07,0,3,8,180,0
3.07,0,3,8,180,0
2.93,0,4,8,205,0
3,0,4,8,215,0
3.23,0,4,8,230,0
4.08,1,1,4,66,1
4.93,1,2,4,52,1
4.22,1,1,4,65,1
3.7,1,1,4,97,0
2.76,0,2,8,150,0
3.15,0,2,8,150,0
3.73,0,4,8,245,0
3.08,0,2,8,175,0
4.08,1,1,4,66,1
4.43,0,2,4,91,1
3.77,1,2,4,113,1
4.22,0,4,8,264,1
3.62,0,6,6,175,1
3.54,0,8,8,335,1
4.11,1,2,4,109,1
