gear,qsec,carb,vs,cyl,hp
4,16.46,4,0,6,110
4,17.02,4,0,6,110
4,18.61,1,1,4,93
3,19.44,1,1,6,110
3,17.02,2,0,8,175
3,20.22,1,1,6,105
3,15.84,4,0,8,245
4,20,2,1,4,62
4,22.9,2,1,4,95
4,18.3,4,1,6,123
4,18.9,4,1,6,123
3,17.4,3,0,8,180
3,17.6,3,0,8,180
3,18,3,0,8,180
3,17.98,4,0,8,205
3,17.82,4,0,8,215
3,17.42,4,0,8,230
4,19.47,1,1,4,66
4,18.52,2,1,4,52
4,19.9,1,1,4,65
3,20.01,1,1,4,97
3,16.87,2,0,8,150
3,17.3,2,0,8,150
3,15.41,4,0,8,245
3,17.05,2,0,8,175
4,18.9,1,1,4,66
5,16.7,2,0,4,91
5,16.9,2,1,4,113
5,14.5,4,0,8,264
5,15.5,6,0,6,175
5,14.6,8,0,8,335
4,18.6,2,1,4,109
