mpg,am,hp,carb,disp,vs
21,1,110,4,160,0
21,1,110,4,160,0
22.8,1,93,1,108,1
21.4,0,110,1,258,1
18.7,0,175,2,360,0
18.1,0,105,1,225,1
14.3,0,245,4,360,0
24.4,0,62,2,146.7,1
22.8,0,95,2,140.8,1
19.2,0,123,4,167.6,1
17.8,0,123,4,167.6,1
16.4,0,180,3,275.8,0
17.3,0,180,3,275.8,0
15.2,0,180,3,275.8,0
10.4,0,205,4,472,0
10.4,0,215,4,460,0
14.7,0,230,4,440,0
32.4,1,66,1,78.7,1
30.4,1,52,2,75.7,1
33.9,1,65,1,71.1,1
21.5,0,97,1,120.1,1
15.5,0,150,2,318,0
15.2,0,150,2,304,0
13.3,0,245,4,350,0
19.2,0,175,2,400,0
27.3,1,66,1,79,1
26,1,91,2,120.3,0
30.4,1,113,2,95.1,1
15.8,1,264,4,351,0
19.7,1,175,6,145,0
15,1,335,8,301,0
21.4,1,109,2,121,1
