carb,disp,drat,vs,hp,cyl
4,160,3.9,0,110,6
4,160,3.9,0,110,6
1,108,3.85,1,93,4
1,258,3.08,1,110,6
2,360,3.15,0,175,8
1,225,2.76,1,105,6
4,360,3.21,0,245,8
2,146.7,3.69,1,62,4
2,140.8,3.92,1,95,4
4,167.6,3.92,1,123,6
4,167.6,3.92,1,123,6
3,275.8,3.07,0,180,8
3,275.8,3.07,0,180,8
3,275.8,3.07,0,180,8
4,472,2.93,0,205,8
4,460,3,0,215,8
4,440,3.23,0,230,8
1,78.7,4.08,1,66,4
2,75.7,4.93,1,52,4
1,71.1,4.22,1,65,4
1,120.1,3.7,1,97,4
2,318,2.76,0,150,8
2,304,3.15,0,150,8
4,350,3.73,0,245,8
2,400,3.08,0,175,8
1,79,4.08,1,66,4
2,120.3,4.43,0,91,4
2,95.1,3.77,1,113,4
4,351,4.22,0,264,8
6,145,3.62,0,175,6
8,301,3.54,0,335,8
2,121,4.11,1,109,4
