wt,carb,cyl,vs,gear,drat
2.62,4,6,0,4,3.9
2.875,4,6,0,4,3.9
2.32,1,4,1,4,3.85
3.215,1,6,1,3,3.08
3.44,2,8,0,3,3.15
3.46,1,6,1,3,2.76
3.57,4,8,0,3,3.21
3.19,2,4,1,4,3.69
3.15,2,4,1,4,3.92
3.44,4,6,1,4,3.92
3.44,4,6,1,4,3.92
4.07,3,8,0,3,3.07
3.73,3,8,0,3,3.07
3.78,3,8,0,3,3.07
5.25,4,8,0,3,2.93
5.424,4,8,0,3,3
5.345,4,8,0,3,3.23
2.2,1,4,1,4,4.08
1.615,2,4,1,4,4.93
1.835,1,4,1,4,4.22
2.465,1,4,1,3,3.7
3.52,2,8,0,3,2.76
3.435,2,8,0,3,3.15
3.84,4,8,0,3,3.73
3.845,2,8,0,3,3.08
1.935,1,4,1,4,4.08
2.14,2,4,0,5,4.43
1.513,2,4,1,5,3.77
3.17,4,8,0,5,4.22
2.77,6,6,0,5,3.62
3.57,8,8,0,5,3.54
2.78,2,4,1,4,4.11
