mpg,am,gear,carb,drat,cyl
21,1,4,4,3.9,6
21,1,4,4,3.9,6
22.8,1,4,1,3.85,4
21.4,0,3,1,3.08,6
18.7,0,3,2,3.15,8
18.1,0,3,1,2.76,6
14.3,0,3,4,3.21,8
24.4,0,4,2,3.69,4
22.8,0,4,2,3.92,4
19.2,0,4,4,3.92,6
17.8,0,4,4,3.92,6
16.4,0,3,3,3.07,8
17.3,0,3,3,3.07,8
15.2,0,3,3,3.07,8
10.4,0,3,4,2.93,8
10.4,0,3,4,3,8
14.7,0,3,4,3.23,8
32.4,1,4,1,4.08,4
30.4,1,4,2,4.93,4
33.9,1,4,1,4.22,4
21.5,0,3,1,3.7,4
15.5,0,3,2,2.76,8
15.2,0,3,2,3.15,8
13.3,0,3,4,3.73,8
19.2,0,3,2,3.08,8
27.3,1,4,1,4.08,4
26,1,5,2,4.43,4
30.4,1,5,2,3.77,4
15.8,1,5,4,4.22,8
19.7,1,5,6,3.62,6
15,1,5,8,3.54,8
21.4,1,4,2,4.11,4
