cyl,mpg,vs,drat,am,qsec
6,21,0,3.9,1,16.46
6,21,0,3.9,1,17.02
4,22.8,1,3.85,1,18.61
6,21.4,1,3.08,0,19.44
8,18.7,0,3.15,0,17.02
6,18.1,1,2.76,0,20.22
8,14.3,0,3.21,0,15.84
4,24.4,1,3.69,0,20
4,22.8,1,3.92,0,22.9
6,19.2,1,3.92,0,18.3
6,17.8,1,3.92,0,18.9
8,16.4,0,3.07,0,17.4
8,17.3,0,3.07,0,17.6
8,15.2,0,3.07,0,18
8,10.4,0,2.93,0,17.98
8,10.4,0,3,0,17.82
8,14.7,0,3.23,0,17.42
4,32.4,1,4.08,1,19.47
4,30.4,1,4.93,1,18.52
4,33.9,1,4.22,1,19.9
4,21.5,1,3.7,0,20.01
8,15.5,0,2.76,0,16.87
8,15.2,0,3.15,0,17.3
8,13.3,0,3.73,0,15.41
8,19.2,0,3.08,0,17.05
4,27.3,1,4.08,1,18.9
4,26,0,4.43,1,16.7
4,30.4,1,3.77,1,16.9
8,15.8,0,4.22,1,14.5
6,19.7,0,3.62,1,15.5
8,15,0,3.54,1,14.6
4,21.4,1,4.11,1,18.6
