hp,wt,drat,qsec,carb,mpg
110,2.62,3.9,16.46,4,21
110,2.875,3.9,17.02,4,21
93,2.32,3.85,18.61,1,22.8
110,3.215,3.08,19.44,1,21.4
175,3.44,3.15,17.02,2,18.7
105,3.46,2.76,20.22,1,18.1
245,3.57,3.21,15.84,4,14.3
62,3.19,3.69,20,2,24.4
95,3.15,3.92,22.9,2,22.8
123,3.44,3.92,18.3,4,19.2
123,3.44,3.92,18.9,4,17.8
180,4.07,3.07,17.4,3,16.4
180,3.73,3.07,17.6,3,17.3
180,3.78,3.07,18,3,15.2
205,5.25,2.93,17.98,4,10.4
215,5.424,3,17.82,4,10.4
230,5.345,3.23,17.42,4,14.7
66,2.2,4.08,19.47,1,32.4
52,1.615,4.93,18.52,2,30.4
65,1.835,4.22,19.9,1,33.9
97,2.465,3.7,20.01,1,21.5
150,3.52,2.76,16.87,2,15.5
150,3.435,3.15,17.3,2,15.2
245,3.84,3.73,15.41,4,13.3
175,3.845,3.08,17.05,2,19.2
66,1.935,4.08,18.9,1,27.3
91,2.14,4.43,16.7,2,26
113,1.513,3.77,16.9,2,30.4
264,3.17,4.22,14.5,4,15.8
175,2.77,3.62,15.5,6,19.7
335,3.57,3.54,14.6,8,15
109,2.78,4.11,18.6,2,21.4
