qsec,cyl,mpg,carb,hp,vs
16.46,6,21,4,110,0
17.02,6,21,4,110,0
18.61,4,22.8,1,93,1
19.44,6,21.4,1,110,1
17.02,8,18.7,2,175,0
20.22,6,18.1,1,105,1
15.84,8,14.3,4,245,0
20,4,24.4,2,62,1
22.9,4,22.8,2,95,1
18.3,6,19.2,4,123,1
18.9,6,17.8,4,123,1
17.4,8,16.4,3,180,0
17.6,8,17.3,3,180,0
18,8,15.2,3,180,0
17.98,8,10.4,4,205,0
17.82,8,10.4,4,215,0
17.42,8,14.7,4,230,0
19.47,4,32.4,1,66,1
18.52,4,30.4,2,52,1
19.9,4,33.9,1,65,1
20.01,4,21.5,1,97,1
16.87,8,15.5,2,150,0
17.3,8,15.2,2,150,0
15.41,8,13.3,4,245,0
17.05,8,19.2,2,175,0
18.9,4,27.3,1,66,1
16.7,4,26,2,91,0
16.9,4,30.4,2,113,1
14.5,8,15.8,4,264,0
15.5,6,19.7,6,175,0
14.6,8,15,8,335,0
18.6,4,21.4,2,109,1
