vs,mpg,am,drat,hp,qsec
0,21,1,3.9,110,16.46
0,21,1,3.9,110,17.02
1,22.8,1,3.85,93,18.61
1,21.4,0,3.08,110,19.44
0,18.7,0,3.15,175,17.02
1,18.1,0,2.76,105,20.22
0,14.3,0,3.21,245,15.84
1,24.4,0,3.69,62,20
1,22.8,0,3.92,95,22.9
1,19.2,0,3.92,123,18.3
1,17.8,0,3.92,123,18.9
0,16.4,0,3.07,180,17.4
0,17.3,0,3.07,180,17.6
0,15.2,0,3.07,180,18
0,10.4,0,2.93,205,17.98
0,10.4,0,3,215,17.82
0,14.7,0,3.23,230,17.42
1,32.4,1,4.08,66,19.47
1,30.4,1,4.93,52,18.52
1,33.9,1,4.22,65,19.9
1,21.5,0,3.7,97,20.01
0,15.5,0,2.76,150,16.87
0,15.2,0,3.15,150,17.3
0,13.3,0,3.73,245,15.41
0,19.2,0,3.08,175,17.05
1,27.3,1,4.08,66,18.9
0,26,1,4.43,91,16.7
1,30.4,1,3.77,113,16.9
0,15.8,1,4.22,264,14.5
0,19.7,1,3.62,175,15.5
0,15,1,3.54,335,14.6
1,21.4,1,4.11,109,18.6
